Yorumlar,Duygu
Sen türkiyenin sadece askeri ve neferi degil türkiyenin gururu oldun Allah senin gibi gercek kahramani ülkemize verdigi icin cok mutluyum basarinin daima devamini isterim,3
Maşallah... Vatansever çocuk...,3
Allahım hayatında her daim yanında olsun insallah sayılarınız artsın abim vatan sizin gibi insanlara minnetar ,3
Bu güzel cennet  vatanın sizin gibi güzel insanlara ihtiyacı var Allâh sağlıklı mutlu ömürler versin inşallah,3
Elini öpüyorum abi... Senin kadar olamadık.. Hakkını helal et,3
Harika insan kendini tamam sayıp zerene bile ulaşamayan insanlara çok büyük bir derssin önünde saygıyla eyiliyorum iyki varsın iyki mücadeleden hiç vaz geçmedin,3
"Allah senden razı olsun, senin gibi başarılı ve senin gibi milli düşünen insanlara çok ihtiyacımız var,",3
"Öğretmenim ve çok farklı düşünen bir çocuğum var, ders dinlerken sürekli tasarımlar yapıyor, buna rağmen dersi anlıyor, sosyal sorunlar yaşadığı oluyor, yeteneklerinin sınıf ortamında köreleceğinden endişe ediyorum. Farklı bir eğitim alıp potansiyelini ortaya koyması gerektiğini düşünüyorum, ilerde ülkeye faydalı üretken bir birey olabilecek kapasiteye sahip. Ne yapabileceğimi araştırdım ama bu yaş grubunda yapılabilecek tek şeyin bilim sanat merkezlerinde olduğu söylendi. Bilim sanat sınavına girdi ancak dikkat dağınıklığı da yaşıyor bu sınavlarda süre ve dikkat zekanın önünde, lütfen bu çocukları harcamayalım, daha doğru yöntemlerle tespit edelim, ihtiyaçları olan eğitimi verelim. Bana çocuğumuz için farklı bir seçenek sunulmadı. Sincan Alparslan İlkokulu 3/E  Sınıfı Ö. C. C.  (İsminin ilk hafleri)  harcamayalım, bu konuda yetkisi ve yardımı olabilecek  kim varsa yardımınıza minnettar oluruz. Bu kardeşimiz vesilesiyle bir evladımızı daha vatana millete kazandıralım. Kardeşimizi de tebrik eder, ülkemize katkılarından dolayı teşekkür ederiz",3
Ağlattin be abi   Yolun açık olsun inşallah,3
Helal olsun eli öpülesi abim Allah senin gibi vatansever abilerimizin ve ablalarimizin sayısı ni artırsın inşallah,3
Güzel  insan senin gibi koca yürekler sayesinde bu ülkenin sırtı yere gelmez Allahu Teala hazretleri senden razı olsun,3
"O insan öğretmen olmuş ama insan olamamiş, insanları küçümseyen hor gören kusurlarini kabullenmeyip dışlayan insanlar lütfen öğretmen doktor olup insan eğitiminin önemli olduğu  yaşama alanlarinin önemli olduğu yerlerde olmayin bi bitin artik..",3
Allahim sana yardimci olsun benim guzel kardesim. Senin guzel kalbine bu ulkenin ihtiyaci var. Allah yar ve yardimcin olsun,3
Allah yolunu açık etsin kardeşim ️,3
"Ben Türkiyeye tatile geldigimde sürekli fiyatlari cekiyorum istedigim gibi, kimse bana müdahale edemez özellikle müsteri oldugum icin, yoksa dünyayi ayagi kaldiririm.",2
abi yalan bilgi paylaşmayın bizim mahallede hurdacıda üniversite mezunu çalışıyor türkiye cennet,2
"Artık iddia oynamaya başlayacağım , haber sayfaları benim psikolojimi kötü etkiliyor. ",1
Durmak yok yola devam ağzımızdan lokmayı alana kadar güçlü Türkiye ,2
sonra sorsan bizim cahillere asgari ucrete zam gelsin der asgari ucrete yuzde 20 zam gelse marketteki urunlere yuzde 50 zam geliyor,2
enflasyon ve işsizlik ters orantı değil miydi,2
Cidden işsizlik hakkında bi şey duymak istemiyorum artık psikolojim bozuldu 6 aydır iş aramaktan,1
Tüik yatacak yerin yok,1
Yaz Türkiye de çalışma oranı 89.8,2
issizlik oranini azaltmak icin üniversitesi sinavinin barajini kaldirirsin ama issizlik orani artmaya devam eder,2
Yuzde 25 o zaman gerçeği. En az yuzde 150 fark oluyor çünkü gerçekle aralarında,2
Yok bee artmış olamaz işinize bakın. Hep iş beğenmeyen köleler yüzündendir yükseldiyse. Ne olmuş kırbaçlıysa çalışma ortamı...,2
Heeee heeee ayni eflasyon rakamlari gibi,2
İş çok çalışan yok,2
Daha fazla olması gerekir. Yani daha fazla işten çıkarım lazım anlamında diyorum. Burda evet bazı dar gelirli aileler zor durumda kalacak ama faiz artışı ile sıcak ekonomi ancak bu şekilde soğutulur. Seçim yaklaştığı için enflasyonun yolunu açtılar zaten. Yapacak bişey yok. Bu sadece Türkiye değil tüm ülkeler için geçerli. Realist düşünün. Mecbur birileri yanıcak bu işin başka hiç bir çözümü yok yoksa ekmek 50 lira olur asgari 30 bin farketmez. Tüketimi kısmamız gerekiyor. Enflasyon tepe yaptımı reel fiyatlarda düşüş yaşanır. Nominal yengeç devam eder. Velhasıl kelam mecburen mecburen ve mecburen faiz arttırılacak işten çıkarım artacak enflasyon baskılanacak ve cari açık dengelenecek.,1
Sırf babama yardım edeyim diye bir çağrı merkezinde işe girdim yapılan mobbingler az mola süreleri verilmeyen primler 4 yıldır tetiklenmeyen anksiyetemi 1.5 ayda tetikledi tekrar antidepresana başladım. Sonra da gençler iş beğenmiyor diyorlar,1
Asgari ücretteki artıştan sonra işten çıkarılmaları görün bir de,2
Aynen kanka bana bir touch blue,2
Çalisma orani 90% bir de bu yönden bakin (pozitiflik),3
Türkiye şaha kalkiyehhhh madenler cikiyeahhh 2023 de süper güç oluyeahhh ,3
Abovvv sayıya bak ,3
Bence çalışan oranı 10,2
tuik dediyse kesin güvenilir zaten.,3
tuİk (israil) usta ben daha bakmam,2
Calis turko belki oy verdiginde duzelir hersey :),3
Yalan söylüyor  0.4 artış oldu,1
Ocaktan sonra görün,2
Tuik i çarpı 10x den hesaplıyoruz bu arada,2
A haber: Çalışma oranı %90,3
Yok yok Cumhurbaşkanımız hersey guzel oldu diyordu yalan söylüyorsunuz (!),1
İşten ayrılmış bir bireyi hemen işsiz saymayan tuik demiş. En az 2 katıdır,2
Yaz çalışma oranı de %90,3
Bu oran yanlış işsizlik oranı 0 olmalı ,1
Yaz Çalışma oranı %90,3
İşsizlik %10 mu? Peki :),2
"Evet çünkü din kardeşimiz suriyeliler bizim yerimize çalışıyor biz yorulmayalım diye , nekadar düşünceliler 🤤",3
Tuik ne diyorsa 10la carpin,2
Yılbaşı sonrası %10000 jdjdjdfj,2
Hükümet  zenginden işverenden yana  adam evine  lüks  tv  alıyo  vergiden düşüyo  bizde  2. Ele  talim,2
%20 de sen ona,2
Her yerde işe almak için yaş sınırı var onun için evde oturuyoruz,2
Çalışıyorum ama işsizim,2
Çalışma oranı %89.8 (!),2
Çok daha artar,2
Yaz çalışma oranı %90 Türkiye cennet,3
Benim işsizlik oranom %100,2
"Arkadaşlar öncelikle merhabalar bizim ailecek büyük maddi sıkıntılarımız vardı. Toplam 140 bin borcumuz vardı. Hacizlik olmuştuk nereye gitsek bulamadık eş dost akraba her yer kapı duvar oldu bize tam umudumuzu kestik derken bir dostumuz @leylaozceliik1 sayfasını tavsiye etti bize allaha şükür bize yardımcı oldu ve bütün sıkıntılarımızdan kurtardı bizi. Bu nedenle herkese tavsiye ediyorum. Kesinlikle darda olan, paraya ihtiyacı olan kesinlikle ulaşsın namuslu ve şerefli biridir sayfasına bakarsanız ne dediğimi anlarsınız. Normalde maç bahis işlerinden anlamıyorum ama şükürler olsun şimdi evimiz var işimiz var kaybetme riski 0 şimdiden herkese hayırlı kazançlar dilerim hayırlı günler @leylaozceliik1",1
Yav hakketen bu işsizler nerede? Bilen var mi..,2
2. fotoda neden nusret einstein var,2
Güzel bilgi. Cloppecom’u anımsattı.,3
"Eğer moleküllerin hızı ile sıcaklıkları ölçülüyorsa, maksimum sıcaklıkları da moleküllerinin ışık hızına ulaştığında sahip olacağı sıcaklığa eşit olabilir diyebilir miyiz?",2
O zaman önemli bir soru bilen yanıtlasın. Aynı miktarlarda biri en soğuk -273 derece olan bir maddeyle diğeri ondan hadron çarpışmasındaki sıcaklığa yakın olan bir madde birleştirildiğinde ne olur?,2
Benim ayaklar öyle,2
Aramızda giren soğukluk -999 kelvin ;(,1
Sıvı nitrojen -196 derece onu gördük,2
Neredeyse Adana kadar sıcak!  5 trilyor kelwwiiinnn diyemedim bile ,2
Yazı sanki Evrim Ağacı Çağrı Mert Bakırcı tarafından yazılmış gibi. Kelime ve anlatım şekli çok benziyor ,2
Yani şöyle düşünün. Duran bir top daha yavaş gidemez,2
0.006 kelvin kaç santigrat dereceye denk geliyor acaba?,2
"Sıcaklık hareket hızından oluşuyorsa, ve bir sonu öngörülmüş değilse parçacıklar ışık hızını da geçiyor olmaz mı? Gerçi atom ve altı dünyada bu mekanikler çok daha farklı ama olsun merak ettim",2
"-273,15 mutlak sıcaklık yani 1 kelvin. Daha düşük olamaz. Ama sıcaklık olarak bir pozitif bölgede bir sınır yok",2
kimya gazlar çalışırken gördüm bıktım yeter,1
"0 Kelvin'e ulaşılırsa, evren donar diye bir komplo teorisi vardı en son zhahhs",2
"Aslında mutlak sıfır -273.15 derece. 0,15 de nedir derseniz, bilim sizi çok güzel yanıltır.",2
Simülasyonu kodlayanlar sınır koymuş işte ne anlatiyonuz,2
Benim ayakları test etmedikleri için en düşük sıcaklık rekoru henüz kırılamadı.,2
Abi 5 milyon da güzel tost olur hee,3
Adana kan ağlıyor,1
"üst sınır da moleküllerin hareketiyle alakalı değil mi? evrendeki en yüksek hız yani hız limiti ışık hızı olan saniyede 300.000km de bize Kelvinin üst sınırını vermeli gibi geliyor tabi benim fikrim bu, bilgisi olan açıklarsa sevinirim.",2
Beyler Eğer Bir Ortamdaki Tüm Moleküller -273 Derece Olursa O Ortamın Zamanı Durmuş Diyebilir miyiz?,2
İnsanlığın ulaştığı en düşük sıcaklık bilgisi yanlış. Örneğin alıcı azot tankları -196 derece’dir.,2
evrim ağacından mı alıyorsunuz içerikleri.,2
Ya babacım kurcalamayın işte,1
Santigrat değil Kelvin,2
Bu kararlı sıcaklık diye bir şey vardı galiba -273’ün altındaki bir sıcaklıkla ilgiliydi bununla ilgili bilgisi olan varsa yazabilir mi bilgisi olmayan ve çocuklar yazmasın küfür edeceğim artık,2
yanlış eski sevgilimin kalbi daha soğuk,1
Mutlak sıfır ı baz alırsak sıcaklık derecelerinde aslında eksi değer yoktur suyun donma  derecesi ise 273° oluyor demek ki,2
Mutlak sıcaklık ve ya soğuk diye bir şey yoktur -273° dediğiniz şey bir molekülü tamamen durdarmak demek ve bir molekülü tamamen durmak mümkün olabilecek bir durum değil çünkü henüz maddenin en küçük yapı taşınada ulaşılamadı bu da demektir ki nasıl sıcaklığın bir sınırı yok ise soğukluğunda bir sınırı yoktur. Bu arada benim de yaz kış ellerim -273°.,2
"Biryerinizden uydurdugunuz bilgileri net bir bilgi diye millete soylemeyin, 5 trilyonmus lan 5 trilyon tl ne kadar yapiyo biliyo musunuz 220 dolar",2
Kaç saniyede mangal yapabiliriz?,2
0 kelvin,2
Yorumlara bakiyorum hep dassaq gecme lanolm azcik bilimsel yaklaşın ciddi olun biraz,2
termodinamiciler ağlıyo suan,1
O zaman en sıcak şey plazma olabilir mi?,2
Güvendiğim dağlar -273°C,2
"Termodinamiğin üçüncü kanunu. Sıfır kelvinde cisim hareketsizdir ve enteopisi sıfırdır. Ancak hareket varsa hayat vardır, ve bu varsa da bozulmalar, dengesizlikler olacaktır. Bu mücadeleyi sonsuzda kazanmak imkansız olsa da sisteme sürekli enerji girişiyle kendimiz durana kadar enteopiden korunabiliriz. :)",2
Siz hiç Erzurum'a gitmediniz herhal?,2
İki atom altı parçacık ışık hızına çok yakın bir hızda hadron çarpıştırıcısında çarptırıldığında 4-5 trilyon santigrat derece sıcaklık ortaya çıktı. Sıcaklık atom altı düzeyde oldugu için ortalığı yakmadı.,2
20 derecenin 10 derecenin iki katı olmadığını öğrendiğimden beridir her şeye şüpheci yaklaşıyorum,2
Allah ol der ve olur,3
Güneşin yüzey sıcaklığı 7000 8000 derece civarında ve yazın aşırı sıcaklardan ölen bile oluyor. 5 trilyon kelvinin nasıl bize etkisi olmuyor düşününce garip geldi. Açıklayabilecek var mı?,2
Şehirler arasındaki otobüs durakları -275 derece,2
Adana daha sıcak,2
gazları yeni bititmişken karşıma çıkan max bilgi,2
çinde bir ara güneş yapıyorlardı o ne oldu,2
O kadar sıcaklıkta dünya bile erir aq makina nasıl dayanıyor,2
0 Kelvin e insanı dondurursak ne olur,2
Kuran'da yazıyor zaten...,2
"Bizim doğal gaz kombisi sanki 5 trilyon kelvin’de çalışıyor , faturalar ise kelvin klein ",2
"Çok soru soruluyor ne güzel. Ama bütün bunların cevabı google arama motoruna yazılarak zaten bulunabilecek cevaplar. Amk adam buraya benim gibi soru yazmaya üşenmiyor, arama motorlarından herhangi birine yazmaya üşeniyor. İliminizin amk.",2
Mutlak sıfır teorisi Lord Kelvin tarafından ortaya atılırken bizim bildiğimiz tek fizikçi olan Albert Einstein'in görselini görüyorsunuz.,2
"en düşük sıcaklık rekorumuz 0,006 kelvin parantez içinde otogarlar hariç deseydiniz keşke ",2
Benim kalbim ona daha soğuk artık...,1
Hocam planck sıcaklığı en üst sıcaklık değil mi,2
Moleküller ne yapsın Zamanda geri mi gitsinler,1
Şu şekilde ulaşabiliriz: eğer güneş hiç doğmasa.,2
Avrupa'nın en büyük gaz deposu bugün açılıyor,3
Silivri Doğal Gaz Depolama Tesisi'nin açılışı bugün Cumhurbaşkanı Recep Tayyip Erdoğan tarafından yapılacak,3
"Patriot’ların Ukrayna’ya verileceğine yönelik haberlerden rahatsız olan Rusya, yine balistik füze kartını oynadı",1
Ruslar “Yars” füzesine dair yeni görüntüler paylaşarak batılı ülkelere adeta gözdağı verdi,1
AK Parti kulislerinde ‘İmamoğlu kararı’ değerlendirmesi: Orantısız ceza istinaftan döner,1
Yunan devlet televizyonu muhabiri duyurdu: Türkiye ve ABD anlaştı!,3
"Peru’da hükümet, şiddet olayları nedeniyle ülke genelinde 30 günlük olağanüstü hal ilan etti",1
Kredi kartı kullananlar dikkat: Yıl sonunda siliniyor!,1
Beşiktaş Belediyesi'nde rüşvet operasyonu! Murat Hazinedar tutuklandı,1
Dünyanın karakutusu' yaşananları kaydediyor! Her şey yok olsa da o kalacak,2
Diyarbakır'da polis servisine bombalı saldırı!,1
Bakan Soylu: Olayın faili olduğu değerlendirilen iki kişi gözaltına alınmıştır,1
KKTC'den Trabzon'a direkt uçuş başladı,2
"Türk-iş Genel Başkanı Ergün Atalay: Türk-İş'in teklifi 9 bin lira. Verirlerse imzalarız, vermezlerse masaya oturmayız.",2
Ağaç keserken 70 metrelik uçurumdan yuvarlanıp öldü,1
"28 Şubat hükümlüsü Vural Avar, hayatını kaybetti",1
"Antalya'da çekilen 'Operation Fortune' filmi, 13 Ocak'ta gösterime giriyor",3
Yeliz'in 'Hayat' şarkısı kanserli çocuklar için umut olacak,3
"Şanlıurfa'da otomobil devrildi: 1 ölü, 1'i bebek ve 2'si çocuk 5 yaralı",1
"Bıçakladığı eşini, cezaevinden mektup yazıp, rahatsız eden sanığa 1 yıl hapis istemi",1
"Bolu, Türkiye'nin en soğuk ili oldu",2
Kızını boğarak öldüren anne için ağırlaştırılmış müebbet istemi,1
Burdur'da sokağa terk edilen bebeğin durumu kritik,1
Uzungöl'de kar güzelliği,3
"Muğla'da tatilciler, aralıkta güneşin keyfini çıkardı",3
Hemen inşaat başlar,2
Ha kesin koruyacaksanız olur,3
"""İki gözüm önmüme aksın ki korunacak""",2
Uzerinde arap lunaparklari yapildiktan sonra mi?,1
canına okunduktan sonra mı?,1
Biraz geç olmadı mı?,3
Toki bu haberi beğendi,2
bu sefer kesin mi,2
Geç kalındı,1
O zaman korunmayacak,1
Bari orayi gorsem korurken hazir belli olmaz,2
Salda gölü tarzında bi koruma mı?,2
Kesin olmayanı nasıl oluyor?,2
Yayla falan kalmadıki korunacakmış mış hadi be ordan,1
bunlar 'yarın günlerden Pazar' deseler inanmam,1
tamam,2
Görsel Ayder yaylasına benzemiyor. Zira Ayder yaylasında şuan kaçak yapılaşma hakim :),2
uzun göl yapay mı,2
Çok şükür Arap lardan gecılmıyordu,3
Evet korunmus belli,3
bekci abilerimiz masa da mi?,2
Yeteri miktarda Arabın apartman dikmesine izin verdikten sonra,2
Yarın iş makineleri girer,2
kusura bakmayın da yaylanın ağzına çoktan sıçıldı zaten. her gittiğimde içim sızlıyor.,1
umarım araplar ırzına geçer buranın,1
